Director,mean,count
Ron Livingston,9.4,2
Scott Grimes,9.4,2
Damian Lewis,9.4,2
Seth Camillo,9.2,2
Barbara Camillo,9.2,2
Joaquim Dos Santos,8.9,5
Kemp Powers,8.9,5
Justin K. Thompson,8.9,5
Charlie Brooker,8.8,2
Gene Roddenberry,8.7,2
Terence Winter,8.6,2
Jemaine Clement,8.6,2
Scott Mactavish,8.5,2
George R.R. Martin,8.5,2
Ryan J. Condal,8.5,2
Michael Schur,8.4,2
Dan Goor,8.4,2
Larry Gelbart,8.4,2
Ron Fricke,8.4,2
Christopher Nolan,8.325,8
Amal Al-Agroobi,8.3,2
Cary Bell,8.3,2
Bill Melendez,8.3,2
Paul T. Scheuring,8.3,2
Sergio Leone,8.22,5
Frank Darabont,8.216666666666667,6
Jenny Lumet,8.2,2
Majid Majidi,8.2,2
Ãlex Pina,8.2,2
Sam Wood,8.2,2
Hayao Miyazaki,8.175,4
Milos Forman,8.166666666666666,3
Stanley Kubrick,8.166666666666666,6
Pete Docter,8.166666666666666,3
Lee Unkrich,8.15,4
George Roy Hill,8.15,2
Terry Jones,8.1,2
William Wyler,8.1,3
S.S. Rajamouli,8.1,2
George Cukor,8.075,4
Florian Henckel von Donnersmarck,8.05,2
Joss Whedon,7.975,4
Nadine Labaki,7.966666666666666,3
Quentin Tarantino,7.958333333333333,12
John Sturges,7.949999999999999,2
Akira Kurosawa,7.949999999999999,2
Frank Capra,7.94,5
Peter Jackson,7.92,10
Denis Villeneuve,7.918181818181818,11
George W. Hill,7.9,2
Stephen Chbosky,7.9,2
Januel Mercado,7.9,2
Stanley Kramer,7.9,2
Tony Kaye,7.8999999999999995,3
Taika Waititi,7.866666666666667,3
Billy Wilder,7.859999999999999,5
Darren Aronofsky,7.8500000000000005,4
Charles Ferguson,7.85,2
Mel Gibson,7.85,4
Victor Fleming,7.85,4
Gareth Evans,7.85,2
Richard Brooks,7.833333333333333,3
James Cameron,7.828571428571428,7
Bernardo Bertolucci,7.800000000000001,2
Alfonso CuarÃ³n,7.800000000000001,4
Charles Brabin,7.8,2
Christy Cabanne,7.8,2
Fred Niblo,7.8,2
Peter Baynton,7.8,2
Sunao Katabuchi,7.8,2
Charlie Mackesy,7.8,2
David Fincher,7.781818181818181,11
Tomm Moore,7.75,2
Damien Chazelle,7.75,4
David Lynch,7.74,5
Alejandro G. IÃ±Ã¡rritu,7.716666666666666,6
Martin Scorsese,7.704,25
Cary Joji Fukunaga,7.7,2
Fred Zinnemann,7.7,5
Edward Kitsis,7.7,2
Kathy Greenberg,7.7,2
Martin McDonagh,7.7,3
Ted Humphrey,7.7,2
Kenneth Lonergan,7.7,3
Adam Horowitz,7.7,2
James Marsh,7.7,2
Drew Dowdle,7.7,2
Ilene Chaiken,7.7,2
Michele Abbott,7.7,2
Brad Falchuk,7.7,3
Andrew Stanton,7.699999999999999,2
David Silverman,7.699999999999999,2
Don Hall,7.699999999999999,2
Stacy Peralta,7.699999999999999,2
Carlton Cuse,7.699999999999999,2
Sean Penn,7.666666666666667,3
Greta Gerwig,7.666666666666667,3
John Lasseter,7.65,4
Chad Stahelski,7.65,4
Lukas Moodysson,7.65,2
Marc Webb,7.65,2
Gene Kelly,7.65,2
Dean DeBlois,7.65,4
Shane Meadows,7.633333333333333,3
David Lean,7.62,5
Alex Kurtzman,7.619999999999999,5
Peter Weir,7.616666666666667,6
J. Mackye Gruber,7.6,2
Brad Bird,7.6,5
Sylvain Chomet,7.6,2
Joseph Sargent,7.6,2
Joseph Kosinski,7.6,5
James Swirsky,7.6,2
Peter H. Hunt,7.6,2
Mark Gustafson,7.6,4
Lisanne Pajot,7.6,2
Jorge RamÃ­rez SuÃ¡rez,7.6,2
Eric Bress,7.6,2
Jared Bush,7.6,2
Mervyn LeRoy,7.6,2
Wes Anderson,7.585714285714286,7
Sam Mendes,7.583333333333333,6
Joel Crawford,7.566666666666667,3
Drew Goddard,7.566666666666666,3
Richard Curtis,7.566666666666666,3
Rich Moore,7.566666666666666,3
Aaron Sorkin,7.550000000000001,2
Tim Minear,7.550000000000001,2
Richard Attenborough,7.550000000000001,4
Park Chan-wook,7.533333333333334,3
Pedro AlmodÃ³var,7.525,4
Spike Jonze,7.525,4
George Lucas,7.516666666666667,6
Bryan Singer,7.516666666666667,6
Destin Daniel Cretton,7.5,2
William B. Evans,7.5,2
Roman Polanski,7.5,7
Samuel Armstrong,7.5,2
Fernando Meirelles,7.5,3
Ji-Eun Kim,7.5,2
Michael Gracey,7.5,2
Phillip Martin,7.5,2
Rick Deslauriers,7.5,2
Ricki Stern,7.5,2
Daniel Kwan,7.5,3
