Movie Name,Scraped Name,Budget,Director,Writer,Actor,Rating,OtherInfo,Date,DirectorsRating,WritersRating,TotalFollowers,Revenue,MPAA,RuntimeMin,CriticComposite,LogFollowers,LogRevenue,Genre
Foodfight!,Foodfight!,45000000,['Lawrence Kasanoff'],"['Lawrence Kasanoff', 'Joshua Wexler', 'Brent V. Friedman']","['Hilary Duff', 'Haylie Duff', 'Charlie Sheen']",1.3,"2012
PG
1h 31m",2012,1.0,1.666666666666667,18.30102999566398,120323.0,PG,91,1.3333333333333335,2.9601584621378207,11.697943383311925,
Superbabies: Baby Geniuses 2,Superbabies: Baby Geniuses 2,20000000,['Bob Clark'],"['Robert Grasmere', 'Francisca Matos', 'Steven Paul']","['Jon Voight', 'Scott Baio', 'Vanessa Angel']",1.5,"2004
PG
1h 28m",2004,7.0,1.5,7.682560211500251,9355369.0,PG,88,4.25,2.1613164404234775,16.051461067950427,
The Oogieloves In The Big Balloon Adventure,The Oogieloves In The Big Balloon Adventure,20000000,['Matthew Diamond'],"['Scott Stabile', 'Kenn Viselman', 'Alex J Greene']","['Jaime Pressly', 'Cloris Leachman', 'Christopher Lloyd']",1.7,"2012
G
1h 28m",2012,1.0,1.0,11.45004269239192,1065907.0,G,88,1.0,2.521724052012622,13.879337576043564,
Justin Bieber: Never Say Never,Justin Bieber: Never Say Never,13000000,['Jon M. Chu'],"['Justin Bieber', 'Boyz II Men', 'Miley Cyrus']","['Justin Bieber', 'Boyz II Men', 'Miley Cyrus']",1.7,"2011
G
1h 45m",2011,6.333333333333333,1.0,20.04559089104176,99034125.0,G,105,3.6666666666666665,3.0466910793309463,18.41097505577174,
Disaster Movie,Disaster Movie,20000000,"['Jason Friedberg', 'Aaron Seltzer']","['Jason Friedberg', 'Aaron Seltzer']","['Carmen Electra', 'Vanessa Lachey', 'Nicole Parker']",1.9,"2008
PG-13
1h 27m",2008,2.333333333333333,3.333333333333333,18.60205999132796,36720752.0,,87.0,2.833333333333333,2.975634662312051,17.418852630042256,
From Justin To Kelly,From Justin To Kelly,12000000,['Robert Iscove'],['Kim Fuller'],"['Kelly Clarkson', 'Justin Guarini', 'Katherine Bailess']",1.9,"2003
PG
1h 21m",2003,3.666666666666667,3.333333333333333,15.0906279805609,4922166.0,PG,81,3.5,2.778236989488221,15.409259438654587,
United Passions,United Passions,30000000,['FrÃ©dÃ©ric Auburtin'],"['FrÃ©dÃ©ric Auburtin', 'Jean-Paul Delfino']","['GÃ©rard Depardieu', 'Sam Neill', 'Tim Roth']",2.1,"2014
Not Rated
1h 50m",2014,4.5,2.0,10.39238034797756,168832.0,Not Rated,110,3.25,2.432944741399633,12.036665339667154,
House Of The Dead,House Of The Dead,7000000,['Uwe Boll'],"['Mark A. Altman', 'Dan Bates', 'Dave Parker']","['Jonathan Cherry', 'Tyron Leitso', 'Clint Howard']",2.1,"2003
R
1h 30m",2003,2.666666666666667,2.0,10.95311513900882,13860078.0,R,90,2.3333333333333335,2.480991925494713,16.44452325156549,
The HelixÃ¢ÂÂ¦Loaded,The Helix... Loaded,1000000,['A. Raven Cruz'],['A. Raven Cruz'],"['Scott Levy', 'Vanilla Ice', 'Geremy Dingle']",2.1,"2005
R
1h 37m",2005,2.0,2.0,10.95300387409972,,R,97,2.0,2.4809826170068696,0.0,
Son Of The Mask,Son Of The Mask,100000000,['Lawrence Guterman'],['Lance Khazei'],"['Jamie Kennedy', 'Traylor Howard', 'Alan Cumming']",2.2,"2005
PG
1h 34m",2005,3.5,2.0,14.53558973470182,59918422.0,PG,94,2.75,2.7431335038046787,17.908494578402337,
