Writer,mean,count
Ron Livingston,9.4,2
Scott Grimes,9.4,2
Damian Lewis,9.4,2
Barbara Camillo,9.2,2
Seth Camillo,9.2,2
J.R.R. Tolkien,8.9,4
Wunmi Mosaku,8.8,2
Monica Dolan,8.8,2
Daniel Lapaine,8.8,2
Patrick Stewart,8.7,2
Jonathan Frakes,8.7,2
Brent Spiner,8.7,2
Jonathan Nolan,8.65,4
Kelly Macdonald,8.6,2
Matt Berry,8.6,2
Natasia Demetriou,8.6,2
Kayvan Novak,8.6,2
Michael Shannon,8.6,2
Matt Smith,8.5,2
Todd Free,8.5,2
Scott Mactavish,8.5,2
Graham McTavish,8.5,2
Luciano Vincenzoni,8.5,2
Sergio Leone,8.5,2
Steve Toussaint,8.5,2
Michelle Keserwany,8.4,2
Mark Magidson,8.4,2
Ron Fricke,8.4,2
Stephanie Beatriz,8.4,2
Wayne Rogers,8.4,2
Terry Crews,8.4,2
Loretta Swit,8.4,2
Christopher Nolan,8.3125,8
BrÃ¡ulio Mantovani,8.3,2
Dominic Purcell,8.3,2
Stacie Evans,8.3,2
Charles M. Schulz,8.3,2
Amaury Nolasco,8.3,2
Amal Al-Agroobi,8.3,2
Abigail Evans,8.3,2
James Norton,8.3,2
Alan Mackay,8.3,2
John Evans,8.3,2
Phil Lord,8.2125,8
Christopher Miller,8.2125,8
Ethan Peck,8.2,2
Anson Mount,8.2,2
Ãrsula CorberÃ³,8.2,2
Itziar ItuÃ±o,8.2,2
Margaret Mitchell,8.2,2
Jess Bush,8.2,2
Jordan Belfort,8.2,4
Ãlvaro Morte,8.2,2
Majid Majidi,8.2,2
Sidney Howard,8.2,2
Frank Darabont,8.18,5
Stanley Kubrick,8.166666666666666,6
Charlie Cox,8.15,2
A.J. Cook,8.149999999999999,2
Pete Docter,8.14,5
Karl Tunberg,8.1,2
Graham Chapman,8.1,2
C.H. Vijay Kumar,8.1,2
S.S. Rajamouli,8.1,2
Philip Kaufman,8.1,2
Gore Vidal,8.1,2
Steve Buscemi,8.1,3
Sean Penn,8.1,2
Brendan McCarthy,8.1,3
Uma Thurman,8.1,2
Nick Lathouris,8.1,3
Michael Wilson,8.1,4
Vijayendra Prasad,8.1,3
Jon Krakauer,8.1,2
Hayao Miyazaki,8.059999999999999,5
Florian Henckel von Donnersmarck,8.05,2
Hideo Oguni,8.05,2
Thomas Vinterberg,8.033333333333333,3
Martin Scorsese,8.033333333333333,3
Hampton Fancher,8.02,5
Ethan Hawke,8.0,2
Tobias Lindholm,8.0,2
Rod Serling,8.0,2
Julie Delpy,8.0,2
Michael Herr,7.966666666666666,3
Jihad Hojeily,7.966666666666666,3
Nadine Labaki,7.966666666666666,3
Angela Bassett,7.95,2
Park Chan-wook,7.95,2
CÃ©line Sciamma,7.949999999999999,2
Lew Wallace,7.949999999999999,4
Quentin Tarantino,7.925,12
J.H. Ingraham,7.9,2
Adriano Bolzoni,7.9,2
Jerome Bixby,7.9,2
A.E. Southon,7.9,2
VÃ­ctor AndrÃ©s Catena,7.9,2
Mark Lowell,7.9,2
Dorothy Clarke Wilson,7.9,2
Joseph Farnham,7.9,2
John Taintor Foote,7.9,2
Alfred Hitchcock,7.9,2
Harry Behn,7.9,2
Robert Bolt,7.9,4
Andrew Stanton,7.8999999999999995,3
Sergio Pablos,7.8999999999999995,2
Denis Villeneuve,7.875,4
Alan Alda,7.866666666666667,3
Akira Kurosawa,7.866666666666667,3
Dave Callaham,7.866666666666666,9
Billy Wilder,7.859999999999999,5
Charles Ferguson,7.85,2
Wolfgang Petersen,7.85,2
Taika Waititi,7.85,2
Richard Brooks,7.833333333333333,3
Philippa Boyens,7.833333333333333,9
Andy Samberg,7.833333333333333,3
Bernardo Bertolucci,7.800000000000001,2
James Leo Herlihy,7.8,2
Louisa May Alcott,7.8,2
John Cleese,7.8,3
Chie Uratani,7.8,2
Charlie Mackesy,7.8,2
Carey Wilson,7.8,2
Sunao Katabuchi,7.8,2
Fumiyo Kono,7.8,2
AndrÃ© Aciman,7.8,2
Rick Moranis,7.8,2
Tennessee Williams,7.8,3
June Mathis,7.8,2
James Ivory,7.766666666666667,3
Alfonso CuarÃ³n,7.766666666666667,3
Fran Walsh,7.754545454545454,11
Irene Mecchi,7.75,2
Darren Aronofsky,7.75,2
Larry McMurtry,7.75,2
Liam O Brien,7.75,2
Tomm Moore,7.75,2
Bill Lancaster,7.75,2
Mario Puzo,7.742857142857143,7
Kenneth Branagh,7.74,5
Bob Peterson,7.733333333333333,3
Ben Hecht,7.716666666666666,6
Lana Parrilla,7.7,2
Jennifer Beals,7.7,2
